Zeit;Temperatur;Luftfeuchte;CO2;eCO2;TVOC;PM1;PM2.5;PM4;PM10
1321.486;29.091743;25.968697;374.43478;400;97.347824;0;0;0;0
1326.527;29.080452;25.962725;374.0909;400;99.09091;0;0;0;0
1331.786;29.089098;26.125452;374.0909;400;92.36364;0;0;0;0
1336.955;29.08783;26.076084;372.6087;400;92.08696;0;0;0;0
1341.969;29.093914;26.302166;371.86957;400;89.78261;0;0;0;0
1347.025;29.094086;26.342278;370.72726;400;86.681816;0;0;0;0
1352.047;29.109095;26.218176;370;400;90.681816;0;0;0;0
1357.262;29.095003;26.271368;369.04544;400;88.22727;0;0;0;0
1362.295;29.095648;26.378696;369.21738;400;91.695656;0;0;0;0
1367.56;29.098177;26.313637;369.18182;400;99.318184;0;0;0;0
1372.731;29.112175;26.556526;369.52173;400;99.95652;0;0;0;0
1377.79;29.127829;26.741741;370.65216;400;97.13043;0;0;0;0
1383.067;29.12136;26.221361;371;400;105.13636;0;0;0;0
1388.234;29.109999;26.045654;372.34784;400;106.478264;0;0;0;0
1393.299;29.12435;26.186953;372;400;95.73913;0;0;0;0
1398.482;29.106361;26.117731;371.5909;400;101.13636;0;0;0;0
1403.545;29.113039;26.003487;369.43478;400;102.13043;0;0;0;0
1408.556;29.094551;25.995451;367.72726;400;96.77273;0;0;0;0
1413.839;29.084093;25.998186;365.18182;400;105.318184;0;0;0;0
1418.845;29.08174;26.25261;365.56522;400;103.478264;0;0;0;0
1424.019;29.085909;26.390003;366;400;101.545456;0;0;0;0
1429.091;29.085657;26.210001;365.6087;400;102.78261;0;0;0;0
1434.279;29.079998;26.289545;364.45456;400;100.045456;0;0;0;0
1439.307;29.07392;26.304777;364;400;104.608696;0;0;0;0
1444.494;29.090004;26.345;362.72726;400;98.40909;0;0;0;0
1449.538;29.085653;26.36783;361.43478;400;101.695656;0;0;0;0
1454.608;29.09272;26.497272;360.72726;400;103.681816;0;0;0;0
1459.78;29.108177;26.359083;359.5909;400;107.454544;0;0;0;0
1464.846;29.100004;26.405651;359;400;103.695656;0;0;0;0
1470.11;29.109545;26.573637;359;400;102.77273;0;0;0;0
1475.314;29.099997;26.259127;359.43478;400;110.434784;0;0;0;0
1480.351;29.108696;26.19087;360;400;111.08696;0;0;0;0
1485.527;29.114544;26.552723;360.72726;400;105.818184;0;0;0;0
1490.53;29.124348;26.790865;361;400;100.82609;0;0;0;0
1495.637;29.147272;26.91227;362;400;98.045456;0;0;0;0
1500.863;29.135462;26.931816;362.72726;400;94.181816;0;0;0;0
1505.882;29.150003;26.502176;363;400;94.86957;0;0;0;0
1510.896;29.152723;26.422277;363.54544;400;97.454544;0;0;0;0
1515.909;29.161812;26.780912;363.31818;400;89.181816;0;0;0;0
1521.143;29.164549;26.763636;363.36365;400;94.454544;0;0;0;0
1526.163;29.163038;26.645657;364.43478;400;93.391304;0;0;0;0
1531.183;29.157734;26.701357;364.68182;400;87.72727;0;0;0;0
1536.418;29.162725;26.86364;366.18182;400;84.318184;0;0;0;0
1541.655;29.216955;;367.65216;404.91306;104.91304;0;0;0;0
1546.908;29.296963;;370;400.0435;52.565216;0;0;0;0
1552.068;29.33478;;370.43478;454.56522;;0;0;0;0
1557.119;29.365648;28.816517;371;403.17392;;0;0;0;0
1562.169;29.379084;27.978182;372.54544;400;;0;0;0;0
1567.336;29.43228;;375.5;400;82.63636;0;0;0;0
1572.399;29.417398;28.751743;375.52173;400;76.347824;0;0;0;0
1577.565;29.421814;27.821821;380.63635;400;82.36364;0;0;0;0
1582.641;29.45912;26.85652;381.26086;400;73.652176;0;0;0;0
1587.914;29.48227;26.48454;383.4091;400;80.681816;0;0;0;0
1593.084;29.508696;26.410429;379.69565;400;87.91304;0;0;0;0
1598.158;29.530443;25.670866;366.91306;400;78.13043;0;0;0;0
1603.315;29.527721;25.814547;359.0909;400;68.36364;0;0;0;0
1608.404;29.52957;25.980875;360.91306;400;61.652172;0;0;0;0
1613.604;29.451813;25.65091;349.63635;400;57.772728;0;0;0;0
1618.808;29.43348;25.565655;342.30435;400;53.695652;0;0;0;0
1623.891;29.432615;25.338264;329.34784;400;46.782608;0;0;0;0
1629.09;29.436821;25.168638;321.31818;400;47.727272;0;0;0;0
1634.175;29.449566;25.079128;316.6087;400;42.652172;0;0;0;0
1639.375;29.429995;25.003185;303.81818;400;37.454544;0;0;0;0
1644.594;29.448267;24.91522;294.13043;400;33.652172;0;0;0;0
1649.807;29.436953;24.902615;282.86957;400;27.695652;0;0;0;0
1654.908;29.429995;24.91304;276.69565;400;23.73913;0;0;0;0
1660.115;29.448187;24.907276;270.81818;400;18.59091;0;0;0;0
1665.328;29.425653;24.89348;268.0435;400;17.391304;0;0;0;0
1670.548;29.443043;24.882177;264.47827;400;14.043478;0;0;0;0
1675.642;29.438696;24.860432;261.13043;400;17.956522;0;0;0;0
1680.858;29.444551;24.864094;260.95456;400;15.318182;0;0;0;0
1686.075;29.450874;24.87696;257.73914;400;15;0;0;0;0
1691.078;29.47043;24.84261;257;400;13.391304;0;0;0;0
1696.08;29.46999;24.853178;259.95456;400;9.5;0;0;0;0
